"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
5,54,13,2,1,81,17,49.51270413398743,200,2,"[[8| 5| 0| 0| 0| 7| 1| 9| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 0| 1| 4| 2| 0]| [0| 0| 5| 0| 0| 0| 0| 1| 3]| [0| 0| 0| 0| 8| 0| 0| 0| 0]| [0| 0| 0| 6| 0| 5| 0| 4| 0]| [0| 7| 0| 0| 0| 0| 3| 6| 0]| [0| 0| 6| 0| 2| 0| 0| 0| 0]| [4| 3| 1| 0| 5| 0| 0| 0| 0]]"
21,58,0,14,8,81,30,91.78154873847961,200,2,"[[0| 9| 0| 0| 0| 0| 0| 0| 0]| [2| 0| 0| 0| 0| 0| 6| 0| 3]| [0| 0| 3| 0| 0| 0| 0| 2| 0]| [1| 0| 0| 0| 0| 0| 4| 0| 0]| [8| 0| 0| 4| 2| 0| 0| 0| 0]| [7| 0| 0| 0| 6| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 2| 0| 0| 1| 7| 0| 0| 8]| [6| 0| 0| 0| 8| 3| 5| 0| 0]]"
13,43,0,1,2,81,49,240.58766794204712,200,2,"[[0| 8| 0| 0| 0| 6| 2| 0| 0]| [0| 0| 2| 0| 0| 3| 1| 0| 0]| [5| 0| 3| 2| 4| 0| 8| 6| 0]| [7| 0| 8| 3| 0| 0| 0| 0| 6]| [0| 0| 4| 0| 0| 8| 0| 9| 0]| [0| 0| 0| 0| 0| 0| 7| 0| 5]| [0| 4| 0| 0| 2| 7| 6| 0| 0]| [0| 3| 7| 6| 1| 0| 9| 2| 4]| [0| 0| 0| 9| 0| 0| 0| 7| 0]]"
17,58,18,20,5,81,3,18.83944272994995,200,2,"[[0| 0| 0| 0| 0| 0| 6| 9| 0]| [0| 0| 0| 0| 8| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 1]| [2| 9| 0| 0| 0| 5| 0| 0| 3]| [5| 0| 7| 0| 6| 4| 0| 0| 0]| [0| 3| 0| 0| 0| 0| 0| 0| 5]| [0| 1| 9| 0| 0| 6| 0| 0| 0]| [0| 7| 0| 0| 0| 2| 0| 0| 0]| [0| 0| 4| 0| 9| 0| 0| 0| 0]]"
12,57,18,13,0,81,31,167.02390432357788,200,2,"[[0| 4| 0| 2| 0| 9| 0| 6| 7]| [0| 0| 6| 0| 7| 1| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 6| 1| 5| 0| 0| 9| 0| 4]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 0| 8| 0| 0| 0| 0| 0| 1]| [0| 3| 0| 9| 0| 0| 0| 7| 0]| [0| 0| 0| 0| 0| 6| 8| 0| 0]| [0| 5| 0| 0| 0| 0| 0| 1| 3]]"
10,56,3,0,8,81,26,100.77087903022766,200,2,"[[0| 0| 0| 0| 8| 9| 0| 7| 0]| [0| 4| 0| 0| 0| 1| 9| 0| 0]| [0| 0| 1| 0| 0| 0| 0| 0| 4]| [5| 0| 0| 0| 0| 8| 3| 0| 0]| [3| 0| 0| 9| 0| 5| 0| 0| 8]| [0| 7| 2| 0| 0| 3| 0| 6| 0]| [6| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 0| 0| 0]| [0| 3| 0| 0| 0| 0| 2| 0| 0]]"
24,54,0,2,1,81,15,2177.143101453781,200,2,"[[8| 0| 0| 9| 0| 0| 0| 0| 3]| [0| 5| 0| 6| 0| 0| 0| 0| 0]| [0| 7| 0| 0| 2| 8| 5| 0| 4]| [0| 0| 8| 0| 0| 0| 0| 0| 0]| [5| 0| 7| 0| 0| 2| 0| 0| 0]| [0| 0| 0| 8| 0| 1| 9| 0| 6]| [0| 0| 2| 4| 0| 0| 0| 0| 9]| [0| 0| 5| 0| 0| 0| 0| 8| 2]| [0| 0| 0| 0| 9| 0| 3| 0| 0]]"
11,50,3,2,4,81,22,145.9374611377716,200,2,"[[0| 6| 2| 0| 0| 0| 0| 0| 0]| [4| 9| 0| 3| 0| 0| 6| 1| 2]| [0| 8| 0| 6| 0| 0| 0| 4| 0]| [0| 1| 0| 8| 0| 0| 0| 0| 9]| [0| 5| 9| 0| 3| 0| 0| 8| 0]| [0| 0| 0| 7| 1| 0| 0| 5| 0]| [1| 7| 0| 4| 0| 0| 8| 9| 0]| [6| 0| 0| 0| 0| 0| 0| 0| 0]| [9| 0| 0| 1| 0| 0| 4| 0| 0]]"
17,56,0,2,4,81,4,32.91493606567383,200,2,"[[0| 0| 3| 9| 0| 0| 0| 7| 0]| [0| 2| 0| 6| 0| 0| 0| 0| 0]| [6| 0| 0| 0| 0| 0| 4| 0| 0]| [0| 0| 0| 0| 3| 0| 0| 8| 4]| [1| 0| 0| 0| 0| 9| 0| 0| 0]| [0| 3| 8| 7| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 0| 5| 0| 0| 0]| [0| 0| 1| 0| 0| 4| 0| 0| 3]| [0| 0| 2| 0| 9| 1| 0| 0| 8]]"
10,55,3,13,6,81,4,30.357478380203247,200,2,"[[0| 8| 3| 1| 2| 0| 9| 0| 0]| [0| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 4| 0| 0| 0| 0| 0| 0| 7]| [0| 3| 0| 9| 6| 1| 2| 5| 0]| [0| 0| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 3| 0| 0| 7| 0]| [0| 0| 9| 8| 0| 0| 1| 0| 0]| [6| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 1| 0| 0| 0| 0]]"
21,50,3,3,1,81,4,28.250286102294922,200,2,"[[7| 0| 2| 0| 0| 0| 0| 0| 5]| [0| 1| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 1| 9| 8| 0| 0]| [0| 3| 5| 0| 2| 7| 0| 6| 0]| [0| 0| 0| 1| 0| 6| 0| 3| 0]| [6| 2| 4| 0| 5| 0| 0| 0| 0]| [5| 0| 0| 4| 0| 0| 0| 1| 6]| [9| 0| 0| 0| 8| 0| 0| 0| 0]| [0| 4| 0| 6| 0| 0| 0| 0| 9]]"
21,52,0,0,6,81,21,147.971355676651,200,2,"[[0| 0| 3| 5| 0| 0| 8| 1| 2]| [1| 0| 6| 0| 0| 0| 4| 0| 7]| [0| 0| 0| 0| 4| 0| 0| 0| 5]| [0| 0| 0| 0| 0| 0| 0| 8| 6]| [0| 4| 2| 0| 0| 0| 0| 0| 0]| [3| 0| 0| 2| 5| 0| 0| 0| 0]| [0| 1| 0| 0| 0| 3| 0| 0| 9]| [8| 0| 9| 0| 0| 4| 5| 0| 1]| [0| 0| 0| 1| 0| 0| 0| 0| 0]]"
12,53,3,0,4,81,8,57.60917901992798,200,2,"[[4| 0| 0| 9| 7| 2| 0| 0| 0]| [0| 0| 0| 8| 3| 0| 0| 6| 5]| [0| 0| 0| 0| 5| 0| 9| 2| 0]| [0| 1| 0| 0| 0| 0| 0| 0| 6]| [3| 0| 0| 0| 0| 0| 5| 7| 0]| [0| 0| 0| 2| 0| 0| 0| 0| 0]| [0| 9| 8| 0| 0| 0| 6| 0| 3]| [7| 0| 0| 6| 8| 0| 0| 4| 0]| [0| 6| 0| 0| 0| 0| 0| 5| 0]]"
15,55,3,3,2,81,23,151.36545181274414,200,2,"[[0| 2| 0| 0| 5| 1| 4| 7| 0]| [0| 5| 0| 0| 0| 8| 0| 0| 0]| [0| 0| 7| 0| 0| 0| 0| 0| 0]| [9| 0| 2| 3| 4| 6| 5| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 8| 0| 2| 0| 5| 0| 0| 0]| [0| 0| 8| 0| 0| 0| 6| 3| 0]| [0| 0| 4| 0| 0| 0| 0| 0| 2]| [5| 0| 0| 7| 6| 0| 0| 0| 9]]"
29,58,14,20,9,81,0,2.1039626598358154,200,2,"[[0| 0| 8| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [6| 9| 0| 0| 0| 3| 1| 0| 2]| [0| 0| 0| 2| 0| 0| 0| 0| 0]| [8| 5| 0| 0| 0| 1| 0| 2| 0]| [0| 0| 2| 0| 7| 6| 0| 0| 5]| [9| 0| 5| 0| 4| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 5| 1]| [0| 2| 0| 9| 0| 0| 0| 0| 3]]"
