"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
21,53,0,15,1,81,48,60.96999788284302,100,2,"[[0| 8| 0| 0| 0| 0| 6| 0| 0]| [3| 0| 0| 0| 0| 8| 0| 0| 0]| [4| 0| 5| 0| 3| 0| 8| 0| 0]| [0| 0| 0| 5| 6| 0| 0| 0| 0]| [0| 7| 0| 0| 9| 0| 0| 0| 0]| [2| 1| 9| 3| 0| 0| 0| 0| 0]| [0| 0| 4| 2| 0| 0| 0| 5| 0]| [0| 0| 0| 0| 0| 0| 1| 3| 0]| [0| 0| 8| 0| 5| 0| 4| 9| 0]]"
15,57,0,0,3,81,59,78.81257367134094,100,2,"[[0| 2| 0| 0| 9| 5| 0| 0| 0]| [0| 3| 0| 2| 0| 0| 0| 0| 6]| [6| 0| 0| 0| 0| 3| 4| 0| 1]| [0| 0| 0| 5| 0| 0| 9| 0| 0]| [0| 0| 0| 9| 3| 8| 0| 0| 4]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 6| 0| 0| 7| 3]| [3| 0| 0| 0| 4| 2| 0| 1| 0]]"
7,56,0,1,2,81,76,94.04458975791931,100,2,"[[2| 9| 0| 4| 0| 8| 0| 1| 0]| [1| 0| 0| 0| 0| 0| 6| 0| 0]| [0| 0| 5| 0| 0| 0| 0| 0| 0]| [0| 0| 7| 0| 8| 3| 0| 0| 0]| [0| 2| 0| 0| 0| 6| 7| 0| 0]| [0| 0| 0| 7| 0| 0| 2| 8| 0]| [6| 0| 0| 0| 5| 0| 0| 0| 0]| [0| 0| 4| 1| 0| 0| 0| 0| 3]| [9| 0| 0| 0| 3| 0| 0| 0| 4]]"
18,55,0,13,2,81,40,51.04871964454651,100,2,"[[4| 0| 2| 0| 8| 3| 5| 0| 0]| [0| 1| 0| 0| 0| 0| 6| 0| 0]| [0| 0| 0| 0| 0| 6| 2| 4| 0]| [0| 0| 0| 3| 0| 7| 0| 0| 8]| [8| 0| 0| 0| 0| 0| 3| 0| 0]| [0| 0| 0| 6| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 1| 0| 0| 0]| [0| 9| 6| 0| 3| 0| 0| 0| 0]| [7| 8| 5| 0| 0| 2| 4| 0| 0]]"
8,52,2,13,6,81,5,6.574284791946411,100,2,"[[0| 0| 3| 4| 0| 0| 0| 0| 7]| [0| 6| 0| 0| 5| 0| 0| 0| 0]| [0| 0| 8| 0| 0| 2| 0| 0| 5]| [0| 9| 0| 3| 7| 0| 0| 4| 0]| [0| 4| 0| 2| 0| 0| 0| 0| 6]| [0| 0| 0| 1| 0| 0| 0| 0| 0]| [0| 0| 0| 6| 9| 0| 0| 5| 0]| [0| 5| 0| 0| 0| 1| 0| 7| 4]| [0| 3| 0| 0| 0| 0| 6| 9| 8]]"
10,61,13,14,4,81,4,13.719300746917725,200,2,"[[0| 0| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 4| 0| 0]| [0| 6| 8| 0| 0| 0| 0| 0| 3]| [0| 0| 0| 0| 0| 1| 5| 6| 4]| [0| 0| 0| 0| 6| 0| 0| 0| 0]| [7| 2| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 9| 0| 0]| [0| 0| 0| 4| 0| 0| 6| 0| 0]| [8| 3| 0| 0| 0| 0| 0| 7| 1]]"
22,56,14,13,0,81,14,47.25990557670593,200,2,"[[0| 0| 3| 6| 0| 0| 0| 0| 4]| [0| 2| 7| 0| 0| 9| 0| 8| 0]| [0| 0| 0| 2| 0| 3| 1| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 5| 0]| [0| 9| 6| 0| 5| 0| 0| 0| 0]| [2| 0| 0| 0| 0| 0| 0| 0| 0]| [9| 0| 0| 3| 1| 6| 7| 0| 0]| [0| 0| 0| 8| 0| 0| 0| 0| 5]| [0| 0| 4| 0| 0| 0| 6| 0| 0]]"
16,55,19,17,1,81,20,72.3579523563385,200,2,"[[2| 0| 0| 0| 7| 6| 0| 0| 0]| [0| 4| 6| 0| 0| 0| 0| 0| 2]| [5| 0| 7| 0| 2| 0| 0| 6| 0]| [7| 0| 0| 3| 0| 9| 5| 0| 0]| [0| 0| 0| 0| 8| 7| 3| 2| 0]| [0| 8| 0| 0| 0| 0| 0| 0| 0]| [9| 0| 0| 0| 0| 0| 1| 0| 6]| [0| 3| 0| 0| 0| 0| 7| 0| 0]| [0| 0| 0| 8| 5| 0| 0| 0| 0]]"
23,55,0,13,2,81,7,23.70853614807129,200,2,"[[0| 0| 0| 0| 0| 0| 7| 3| 0]| [0| 0| 0| 0| 7| 3| 0| 0| 5]| [0| 0| 0| 4| 0| 0| 0| 0| 0]| [0| 0| 9| 2| 0| 0| 4| 0| 0]| [0| 6| 3| 0| 0| 0| 0| 0| 9]| [0| 4| 8| 0| 9| 0| 0| 6| 0]| [0| 1| 0| 0| 0| 0| 2| 0| 0]| [0| 7| 0| 6| 0| 2| 0| 0| 4]| [0| 0| 0| 0| 0| 8| 5| 0| 0]]"
23,50,0,3,4,81,12,37.81018567085266,200,2,"[[0| 0| 0| 5| 6| 0| 7| 0| 0]| [5| 0| 0| 0| 2| 0| 0| 8| 3]| [2| 0| 0| 8| 0| 7| 1| 0| 0]| [4| 0| 0| 0| 7| 0| 0| 2| 5]| [0| 0| 5| 3| 0| 0| 0| 6| 0]| [6| 7| 0| 2| 0| 0| 0| 0| 0]| [1| 0| 0| 0| 0| 2| 0| 0| 9]| [7| 0| 2| 0| 8| 0| 0| 0| 0]| [0| 6| 9| 0| 0| 0| 0| 4| 0]]"
